category,style_name,product_id,url,image_url
Nike,(WMNS) Nike Blazer Mid Rebel 'Spring Festival',dd8482-163,https://www.kickscrew.com/products/nike-womens-wmns-blazer-mid-rebel-spring-festival-coconut-milk-white-pink-tint-bright-green-light-lemon-green-super-brilliant-pink-dd8482-163,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_9a850e3e-b400-43a1-9a0c-f661d7ef9ac4_x480.jpg?w=384&v=1708766174
Nike,Nike Zoom Vapor 15 Academy AG 'Pink Blast Volt',vapor-15,https://www.kickscrew.com/products/nike-zoom-vapor-15-academy-ag-pink-blast-volt-dj5630-605,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_c8a104ba-f37d-407f-82cd-1218b3d6e05f_x480.jpg?w=384&v=1708401686
Nike,Nike Air Max Flyknit Racer 'Multi-Color',dj6106-300,https://www.kickscrew.com/products/air-max-flyknit-racer-multi-color-dj6106-300,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_1f24a676-97a8-499f-8f0c-d5f85217288e_x480.jpg?w=384&v=1737689773
Nike,(WMNS) Nike Court Vision Alta 'Triple White',dm0113-100,https://www.kickscrew.com/products/nike-womens-wmns-court-vision-alta-ltr-dm0113-100,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_cc707a39-9c61-4aa1-a494-a915df7cfa7b_x480.jpg?w=384&v=1708678009
Nike,Nike Oneonta Sandal 'Be True',dr4870-600,https://www.kickscrew.com/products/nike-oneonta-be-true-dr4870-600,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_c17df211-ff71-4694-9230-61ba83134f0e_x480.jpg?w=384&v=1708660717
Nike,Nike Court Zoom NXT 'White Black',dv3276-101,https://www.kickscrew.com/products/nikecourt-zoom-nxt-white-black-dv3276-101,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_bf4c06a2-78c2-41b3-96b7-72d3a5412f85_x480.jpg?w=384&v=1708366590
Nike,Nike SB Dunk High 'Run The Jewels Active Pink',dx4356-600,https://www.kickscrew.com/products/nike-sb-dunk-high-run-the-jewels-dx4356-600,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_0a069638-d974-43d5-b26a-6a846c0c406a_x480.jpg?w=384&v=1708077194
Nike,Nike Air Max 1 'White Black Medium Olive',max-1,https://www.kickscrew.com/products/nike-air-max-1-white-black-medium-olive-fd9082-102,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_bdf800c6-5780-4f29-8de1-a77713ee9e32_x480.jpg?w=384&v=1708082913
Nike,Nike KD 3 'Aunt Pearl',kd-3,https://www.kickscrew.com/products/nike-kd-3-aunt-pearl-fj0982-600,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_b74776f0-54f4-4002-b26a-d2418414bdbf_x480.jpg?w=384&v=1708324436
Nike,Nike Metcon 1 OG 'Black White Metallic Cool Grey',metcon-1,https://www.kickscrew.com/products/nike-metcon-1-og-black-white-metallic-cool-grey-fq1854-002,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_8817901b-327d-414b-afa1-5fa879e8df8d_x480.jpg?w=384&v=1740046847
Nike,Nike Air Max Plus 'Black Racer Blue',fq7331-001,https://www.kickscrew.com/products/nike-air-max-plus-black-racer-blue-fq7331-001,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_c3a17d26-55c1-4e53-91fc-661fdc15aac8_x480.jpg?w=384&v=1719912775
Nike,Nike Air More Uptempo Low 'Black Gum',fz3055-003,https://www.kickscrew.com/products/nike-air-more-uptempo-low-black-gum-fz3055-003,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_67c32d77-2e86-43b9-8911-7ed2a4434ecf_x480.jpg?w=384&v=1740020965
Nike,Nike Air Flightposite 'Dusty Cactus',hj4466-001,https://www.kickscrew.com/products/nike-air-flightposite-dusty-cactus-hj4466-001,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_c613c191-defb-4698-b4ad-df965e69455a_x480.jpg?w=384&v=1749778629
Nike,Nike Clogposite 'Dusty Cactus',hj4478-001,https://www.kickscrew.com/products/nike-clogposite-dusty-cactus-hj4478-001,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/1-square_2d7d95ff-37b4-4c43-84d7-71563c92b92b_x480.jpg?w=384&v=1750125023
Nike,Nike Book 1 EP 'Sunrise',book-1,https://www.kickscrew.com/products/nike-book-1-ep-sunrise-hj5355-600,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_a8be451b-2ef4-4b8c-83f9-cd895ec23329_x480.jpg?w=384&v=1735879890
Nike,Nike Premier 3 Low TF Turf 'Black White',premier-3,https://www.kickscrew.com/products/nike-premier-3-low-tf-black-white-hm0283-001,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_1ae8ce9a-8e6c-43c7-a072-46ba097530f0_x480.jpg?w=384&v=1718785497
